Coleta	Estacao	Tratamento	Ponto	Ponto	Profundidade	TeorH2O	AT	DP	DS	Ma	Mi	PTotal	RP	P_res	pH	K	Ca	Mg	H_Al	Al	SB	CTC	V	Ca_CTC	Mg_CTC	M_Sat_Al	Est_C	T_Ar	RH	WBT	Ab_Abs
4	Verao	ILPF	P2	P17	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31.5	41.1	45.5	0
4	Verao	ILPF	P2	P17	0.00-0.10	0.12	886.0	2.4	1.37	0.05	0.23	0.27		12	4.6	1.9	18	16	34	2	35.9	69.9	51	26	23	5	2.06	33.6	48.9	49.1	67
4	Verao	ILPF	P2	P17	0.10-0.20	0.07	935.0	2.6	1.52	0.04	0.17	0.21		21	3.8	0.7	3	3	42	16	6.7	48.7	14	6	6	70	1.01	0.0	0.0	0.0	9
4	Verao	ILPF	P2	P17	0.20-0.30	0.08	899.0	2.4	1.67	0.02	0.16	0.18		10	4.0	0.8	7	6	42	11	13.8	55.8	25	13	11	44	1.31	0.0	0.0	0.0	4
4	Verao	ILPF	P3	P18	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31.6	42.6	47.5	0
4	Verao	ILPF	P3	P18	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29.1	50.3	46.2	0
4	Verao	ILPF	P3	P18	0.00-0.10	0.09	930.0	2.7	1.50	0.02	0.22	0.25		19	4.6	1.1	14	11	31	2	26.1	57.1	46	25	19	7	1.71	29.9	50.8	53.3	19
4	Verao	ILPF	P3	P18	0.10-0.20	0.07	926.0	2.5	1.58	0.03	0.16	0.19		6	4.2	0.7	6	5	34	9	11.7	45.7	26	13	11	43	1.16	0.0	0.0	0.0	2
4	Verao	ILPF	P3	P18	0.20-0.30	0.09	940.0	2.6	1.60	0.03	0.16	0.19		8	4.1	0.9	5	3	34	10	8.9	42.9	21	12	7	53	0.98	0.0	0.0	0.0	0
4	Verao	ILPF	P4	P19	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31.5	36.2	38.5	0
4	Verao	ILPF	P4	P19	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30.8	42.3	44.0	0
4	Verao	ILPF	P4	P19	0.00-0.10	0.10	930.0	2.5	1.46	0.03	0.21	0.24		12	4.6	1.8	20	17	28	2	38.8	66.8	58	30	25	5	1.85	33.4	46.7	46.0	43
4	Verao	ILPF	P4	P19	0.10-0.20	0.08	862.0	2.6	2.29	0.02	0.18	0.20		4	4.3	0.8	8	6	31	6	14.8	45.8	32	17	13	29	1.62	0.0	0.0	0.0	4
4	Verao	ILPF	P4	P19	0.20-0.30	0.06	922.0	2.5	2.45	0.02	0.15	0.17		10	4.7	1.5	11	10	22	2	22.5	44.5	51	25	22	8	1.43	0.0	0.0	0.0	2
4	Verao	ILPF	P5	P20	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	32.5	37.1	38.6	0
4	Verao	ILPF	P5	P20	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	32.1	39.9	37.0	0
4	Verao	ILPF	P5	P20	0.00-0.10	0.13	920.0	2.6	1.96	0.04	0.23	0.27		3	4.4	0.6	8	3	25	5	11.6	36.6	32	22	8	30	1.68	31.0	43.8	42.7	8
4	Verao	ILPF	P5	P20	0.10-0.20	0.08	919.0	2.5	1.83	0.05	0.17	0.22		22	4.7	0.6	10	4	20	2	14.6	34.6	42	29	12	12	1.10	0.0	0.0	0.0	0
